time,name,x,y,z
1625126251.8429797,c8a9,2.66,4.71,1.0
1625126251.8469696,552,2.28,4.47,1.0
1625126251.9445171,552,2.28,4.62,1.0
1625126251.9819117,c8a9,2.65,4.82,1.0
1625126252.0314696,552,2.27,4.7,1.0
1625126252.078764,c8a9,2.65,4.67,1.0
1625126252.1575878,552,2.3,4.63,1.0
1625126252.1625764,c8a9,2.64,4.64,1.0
1625126252.2344186,552,2.2,4.78,1.0
1625126252.2787175,c8a9,2.63,4.68,1.0
1625126252.3360722,552,2.27,4.54,1.0
1625126252.3770785,c8a9,2.67,4.74,1.0
1625126252.4654725,552,2.29,4.59,1.0
